Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7235999_pass_2_paired_qtrim	SRR7235999_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16285392.0	0.0	50-150	39.0	89.58514189664352	145.72469161319543	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7235999_pass_2_unpaired_qtrim	SRR7235999_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	530746.0	0.0	50-150	39.0	93.4208581662431	124.52804354625377	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7236021_pass_1	SRR7236021_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	735316.0	0.0	50-150	41.0	86.84928735886648	126.10761495737887	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236021_pass_2_paired_qtrim	SRR7236021_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13453301.0	0.0	50-150	41.0	81.98985415981443	140.66249465465762	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7236021_pass_2_unpaired_qtrim	SRR7236021_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	226553.0	0.0	50-150	40.0	90.41093593103044	113.06453236108108	pass	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR7236022_pass_1	SRR7236022_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	470345.0	0.0	50-150	39.0	94.03613201564364	123.52751490926873	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR7236022_pass_2_paired_qtrim	SRR7236022_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13433939.0	0.0	50-150	39.0	89.53249375088652	145.60962216666312	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR7236022_pass_2_unpaired_qtrim	SRR7236022_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	463770.0	0.0	50-150	39.0	94.71141753879199	124.07088643077387	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR7236028_pass_1	SRR7236028_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	983122.0	0.0	50-150	39.0	93.59477368281736	126.91096527185843	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7236028_pass_2_paired_qtrim	SRR7236028_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15599083.0	0.0	50-150	39.0	90.83224888415444	143.37067525059004	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
